Provincia	Código INE	Nombre del Municipio	Nº de conatos	Nº de incendios	Total conatos + incendios	Superficie arbolada (ha)	Superficie desarbola (ha)	Superficie forestal total (ha)	Superficie total del Municipio 	
	10184	El Torno	16	88	104	28.25	205.65	233.9	2,227.63	
	10185	Torrecilla de los Ángeles	4	34	38	238.13	489.71	727.84	4,334.73	
	10186	Torrecillas de la Tiesa	3	13	16	0	175.69	175.69	13,962.41	
	10187	Torre de Don Miguel	33	105	138	136.75	183.67	320.42	1,156.59	
	10188	Torre de Santa María	0	17	17	2	26.29	28.29	1,908.40	
	10189	Torrejoncillo	1	20	21	12.5	48.19	60.69	9,466.56	
	10190	Torrejàn el Rubio	2	28	30	0	108.45	108.45	22,205.87	
	10191	Torremenga	8	28	36	6.58	54.88	61.46	1,215.71	
	10192	Torremocha	3	13	16	55.86	156.24	212.1	6,389.76	
	10193	Torreorgaz	0	5	5	0	112.89	112.89	2,880.93	
	10194	Torrequemada	0	0	0	16.2	76.71	92.91	3,084.68	
	10195	Trujillo	15	134	149	99.24	1739.17	1838.41	65,005.16	
	10196	Valdastillas	15	28	43	2.88	23.54	26.42	810.72	
	10197	Valdecañas de Tajo	0	4	4	0.05	59.22	59.27	1,882.14	
	10198	Valdefuentes	1	7	8	0	36.11	36.11	2,716.69	
	10199	Valdehéncar	2	3	5	0	4.35	4.35	2,560.58	
	10200	Valdelacasa de Tajo	0	4	4	24	129.99	153.99	7,291.32	
	10201	Valdemorales	1	2	3	0	7.06	7.06	990.28	
	10202	Valdeobispo	5	19	24	1.5	31.32	32.82	4,214.08	
	10203	Valencia de Alcántara	27	122	149	5387.45	6062.58	11450.03	59,628.57	
	10204	Valverde de la Vera	8	44	52	53.75	110.9	164.65	4,696.80	
	10205	Valverde del Fresno	33	160	193	687.71	1021.95	1709.66	19,733.71	
	10206	Viandar de la Vera	4	19	23	1.16	29.53	30.69	2,801.17	
	10207	Villa del Campo	1	13	14	17	13.98	30.98	5,699.97	
	10208	Villa del Rey	0	8	8	6.75	122.48	129.23	5,739.36	
	10209	Villamesías	2	18	20	2.8	141.22	144.02	4,650.28	
	10210	Villamiel	40	102	142	59.59	134.41	194	7,321.25	
	10211	Villanueva de la Sierra	7	37	44	43.28	377.31	420.59	4,367.26	
	10212	Villanueva de la Vera	27	113	140	213.51	735.11	948.62	12,968.67	
	10213	Villar del Pedroso	4	16	20	7.7	246.98	254.68	24,243.12	
	10214	Villar de Plasencia	1	3	4	0	6.58	6.58	2,501.43	
	10215	Villasbuenas de Gata	8	53	61	156.18	76.6	232.78	4,689.67	
	10216	Zarza de Granadilla	2	22	24	16.19	106.96	123.15	13,367.94	
	10217	Zarza de Montánchez	2	16	18	1	34.16	35.16	3,685.05	
	10218	Zarza la Mayor	1	20	21	26	715.59	741.59	17,059.10	
	10219	Zorita	3	31	34	0.05	398.48	398.53	18,705.44	
	10901	Rosalejo	4	15	19	8.39	183.63	192.02	4,045.36	
	10902	Vegaviana	0	0	0	0	0	0	2,309.70	
	10903	Alagàn del Río	1	1	2	0.4	1.82	2.22	1,374.37	
	10904	Tiétar	0	0	0	0	0	0	2,394.12	
	10905	Pueblonuevo de Miramontes	0	0	0	0	0	0	2,327.15	
Total Caceres									1,988,896.83	
Cádiz	11001	Alcalá de los Gazules	9	37	46	37.44	117.54	154.98	47,989.74	
	11002	Alcalá del Valle	1	16	17	8.83	12.21	21.04	4,689.90	
	11003	Algar	0	5	5	0.06	1.9	1.96	2,662.25	
	11004	Algeciras	13	52	65	181.66	821.56	1003.22	8,687.34	
	11005	Algodonales	3	23	26	1.49	24	25.49	13,421.10	
	11006	Arcos de la Frontera	6	42	48	21.65	45.94	67.59	52,793.21	
	11007	Barbate	45	82	127	32.02	198.75	230.77	14,345.03	
	11008	Los Barrios	16	53	69	104.07	309.85	413.92	33,148.35	
	11009	Benaocaz	6	0	6	6.4	43.44	49.84	6,941.70	
	11010	Bornos	0	4	4	2.27	0.7	2.97	5,434.37	
	11011	El Bosque	8	0	8	0.81	0.18	0.99	3,075.87	
	11012	Cádiz	1	0	1	0	0.07	0.07	1,219.33	
	11013	Castellar de la Frontera	16	28	44	12.44	14.69	27.13	17,891.80	
	11014	Conil de la Frontera	7	39	46	140.35	58.47	198.82	8,860.63	
	11015	Chiclana de la Frontera	2	21	23	13.54	73.96	87.5	20,564.51	
	11016	Chipiona	1	2	3	0.5	2	2.5	3,286.98	
	11017	Espera	0	4	4	1	1.15	2.15	12,353.38	
	11018	El Gastor	0	10	10	6.69	1.46	8.15	2,755.30	
	11019	Grazalema	1	18	19	25.11	47.04	72.15	12,245.18	
	11020	Jerez de la Frontera	6	69	75	24.98	45.28	70.26	118,921.19	
	11021	Jimena de la Frontera	8	45	53	59.87	250.55	310.42	34,578.18	
	11022	La Línea de la Concepciàn	1	27	28	2.55	283.62	286.17	2,558.67	
	11023	Medina-Sidonia	3	31	34	17.16	115.98	133.14	48,782.54	
	11024	Olvera	0	19	19	10.28	148.03	158.31	19,361.16	
	11025	Paterna de Rivera	2	6	8	0	7.76	7.76	1,401.80	
	11026	Prado del Rey	0	10	10	1.34	2.54	3.88	4,859.97	
	11027	El Puerto de Santa María	3	21	24	3.04	20.27	23.31	15,945.90	
	11028	Puerto Real	6	36	42	3.71	72.79	76.5	19,618.79	
	11029	Puerto Serrano	2	13	15	13.84	43.46	57.3	7,988.41	
	11030	Rota	3	0	3	0.34	0.43	0.77	8,426.82	
	11031	San Fernando	1	4	5	0	1.11	1.11	3,222.29	
	11032	Sanlécar de Barrameda	2	14	16	4	7.92	11.92	17,857.52	
	11033	San Roque	29	135	164	90.65	1422.75	1513.4	14,694.02	
	11034	Setenil de las Bodegas	1	17	18	69.92	60.22	130.14	8,215.51	
	11035	Tarifa	17	116	133	271.01	1086.36	1357.37	41,943.07	
	11036	Torre Alháquime	1	15	16	14.64	63.85	78.49	1,736.43	
	11037	Trebujena	0	0	0	0	0	0	7,008.98	
	11038	Ubrique	1	10	11	0	7.52	7.52	6,978.20	
	11039	Vejer de la Frontera	6	30	36	0.65	34.43	35.08	26,302.88	
	11040	Villaluenga del Rosario	0	2	2	0	60.2	60.2	5,948.30	
	11041	Villamartín	3	20	23	10.14	33.44	43.58	21,199.16	
	11042	Zahara	1	11	12	0.51	14.37	14.88	7,250.73	
	11901	Benalup-Casas Viejas	0	5	5	0.01	5.25	5.26	6,074.49	
	11902	San José del Valle	5	8	13	4.77	1.92	6.69	22,401.23	
Total Cadiz									745,642.22	
Cantabria	39001	Alfoz de Lloredo	24	45	69	93.52	172.5	266.02	4,625.42	
	39002	Ampuero	2	7	9	5.36	33.14	38.5	3,244.19	
	39003	Anievas	6	53	59	15.74	165.19	180.93	2,089.00	
	39004	Arenas de Iguña	20	183	203	173.47	1343.85	1517.32	8,676.71	
	39005	Argoños	0	1	1	0.1	0.9	1	552.05	
	39006	Arnuero	0	10	10	1.95	8.88	10.83	2,450.92	
	39007	Arredondo	7	160	167	164.08	5044.93	5209.01	4,684.72	
	39008	El Astillero	1	0	1	0	0.4	0.4	654.95	
	39009	Bárcena de Cicero	0	30	30	144.04	181.27	325.31	3,265.06	
	39010	Bárcena de Pie de Concha	4	34	38	47.14	337.65	384.79	3,045.82	
	39011	Bareyo	0	8	8	4.25	31.52	35.77	3,208.73	
	39012	Cabezón de la Sal	7	85	92	40.25	504.91	545.16	3,353.96	
	39013	Cabezón de Liébana	3	13	16	29.24	155.67	184.91	8,139.58	
	39014	Cabuérniga	28	469	497	898.31	5687.7	6586.01	8,640.23	
	39015	Camaleño	0	15	15	4.74	22.84	27.58	16,205.81	
	39016	Camargo	0	5	5	1.94	14.04	15.98	3,712.42	
	39017	Campoo de Yuso	10	41	51	5.31	132.91	138.22	8,966.80	
	39018	Cartes	4	10	14	2.41	23.2	25.61	1,901.59	
	39019	Castañeda	1	12	13	18.62	29.12	47.74	1,912.46	
	39020	Castro-Urdiales	19	175	194	67.13	600.18	667.31	9,534.93	
	39021	Cieza	8	78	86	87	855.95	942.95	4,404.76	
	39022	Cillorigo de Liébana	15	70	85	39.05	423.1	462.15	10,451.59	
	39023	Colindres	1	5	6	6.89	10.79	17.68	532.23	
	39024	Comillas	1	4	5	0.01	6.04	6.05	1,856.85	
	39025	Los Corrales de Buelna	6	60	66	71.51	356.44	427.95	4,534.96	
	39026	Corvera de Toranzo	10	119	129	65.06	602.84	667.9	4,945.05	
	39027	Campoo de Enmedio	5	24	29	2.53	125.01	127.54	9,100.40	
	39028	Entrambasaguas	0	23	23	63.23	457.37	520.6	4,315.70	
	39029	Escalante	0	3	3	0	3	3	1,765.96	
	39030	Guriezo	11	60	71	9.18	186.97	196.15	7,944.66	
	39031	Hazas de Cesto	1	7	8	2.46	12.44	14.9	2,186.07	
	39032	Hermandad de Campoo de Suso	9	41	50	9.53	352.36	361.89	22,253.13	
	39033	Herrerías	6	66	72	42.28	446.58	488.86	4,032.34	
	39034	Lamasón	19	273	292	245.82	1494.33	1740.15	7,120.39	
	39035	Laredo	3	3	6	0	3.84	3.84	1,438.84	
	39036	Liendo	3	16	19	3.41	51.96	55.37	2,638.61	
	39037	Liérganes	23	122	145	101.57	996.78	1098.35	3,682.40	
	39038	Limpias	0	4	4	3.53	2.08	5.61	996.32	
	39039	Luena	27	212	239	128.18	1392.03	1520.21	9,047.84	
	39040	Marina de Cudeyo	1	2	3	0.33	8.22	8.55	2,939.06	
	39041	Mazcuerras	7	70	77	16.29	390.51	406.8	5,561.68	
	39042	Medio Cudeyo	1	19	20	12.2	126.07	138.27	2,641.77	
	39043	Meruelo	0	2	2	0.65	2.85	3.5	1,634.80	
	39044	Miengo	1	3	4	0.08	32.46	32.54	2,344.59	
	39045	Miera	1	76	77	2.58	1845.81	1848.39	3,408.47	
	39046	Molledo	5	49	54	100.95	529.37	630.32	7,107.82	
	39047	Noja	0	0	0	0	0	0	859.87	
	39048	Penagos	0	20	20	68.66	370.78	439.44	3,164.73	
	39049	Peñarrubia	18	49	67	34.9	157.74	192.64	5,425.69	
	39050	Pesaguero	3	5	8	0.78	16.3	17.08	6,996.68	
	39051	Pesquera	0	6	6	9.23	129.27	138.5	892.87	
	39052	Piélagos	6	31	37	22.38	52.58	74.96	8,283.28	
	39053	Polaciones	4	63	67	118.7	608.06	726.76	8,972.73	
	39054	Polanco	0	2	2	0.15	4.35	4.5	1,796.23	
	39055	Potes	0	3	3	4.97	37.33	42.3	760.54	
	39056	Puente Viesgo	4	88	92	156.21	473.34	629.55	3,612.24	
	39057	Ramales de la Victoria	4	14	18	21.43	107.17	128.6	3,206.04	
	39058	Rasines	2	34	36	50.65	179.35	230	4,366.00	
	39059	Reinosa	0	0	0	0	0	0	411.70	
	39060	Reocín	3	34	37	14.21	59.66	73.87	3,207.47	
	39061	Ribamontán al Mar	3	12	15	3.78	27.87	31.65	3,679.26	
	39062	Ribamontán al Monte	0	7	7	7.48	25.44	32.92	4,226.69	
	39063	Rionansa	24	354	378	1017.64	4245.27	5262.91	11,796.73	
	39064	Riotuerto	4	79	83	62.04	1632.91	1694.95	3,037.91	
	39065	Las Rozas de Valdearroyo	3	51	54	343.11	759.78	1102.89	5,731.34	
	39066	Ruente	16	115	131	150.02	1693.15	1843.17	6,582.29	
	39067	Ruesga	8	106	114	87.56	2314.12	2401.68	8,752.03	
	39068	Ruiloba	0	2	2	0	9	9	1,503.24	
	39069	San Felices de Buelna	4	42	46	55.53	302.32	357.85	3,622.02	
	39070	San Miguel de Aguayo	0	4	4	9.5	86.66	96.16	3,596.51	
	39071	San Pedro del Romeral	1	121	122	50.99	809.69	860.68	5,740.30	
	39072	San Roque de Riomiera	2	110	112	7.76	3032.55	3040.31	3,560.57	
	39073	Santa Cruz de Bezana	0	0	0	0	1.5	1.5	1,726.21	
	39074	Santa María de Cayàn	12	105	117	81.28	1065.81	1147.09	4,760.92	
	39075	Santander	0	1	1	0.01	5.52	5.53	3,592.50	
	39076	Santillana del Mar	4	12	16	3.86	100	103.86	2,840.86	
	39077	Santiurde de Reinosa	0	3	3	3.55	41.12	44.67	3,096.20	
	39078	Santiurde de Toranzo	9	103	112	118.82	487.31	606.13	3,681.16	
	39079	Santoña	0	0	0	0.07	2.07	2.14	1,112.06	
	39080	San Vicente de la Barquera	2	16	18	50.81	210.34	261.15	4,104.20	
	39081	Saro	5	98	103	85.49	1271.62	1357.11	1,800.29	
	39082	Selaya	11	199	210	44.56	4963.51	5008.07	3,925.12	
	39083	Soba	2	206	208	115.02	8910.32	9025.34	21,398.94	
	39084	Solórzano	1	26	27	10.96	52.54	63.5	2,545.68	
	39085	Suances	0	0	0	0	1.5	1.5	2,443.29	
	39086	Los Tojos	13	282	295	442.7	4327.73	4770.43	8,945.12	
	39087	Torrelavega	1	18	19	23.13	29.35	52.48	3,549.62	
	39088	Tresviso	3	8	11	0	57.52	57.52	1,622.39	
	39089	Tudanca	6	117	123	248.88	1663.7	1912.58	5,241.46	
	39090	Udías	4	33	37	8.37	267.3	275.67	1,963.13	
	39091	Valdáliga	28	186	214	90.65	1410.83	1501.48	9,771.82	
	39092	Valdeolea	0	12	12	38.89	199.05	237.94	8,367.49	
	39093	Valdeprado del Río	13	81	94	61.24	326.46	387.7	8,927.43	
	39094	Valderredible	9	89	98	166.66	655.82	822.48	29,805.11	
	39095	Val de San Vicente	3	13	16	10.42	77.54	87.96	5,088.36	
	39096	Vega de Liébana	7	54	61	49.42	320.46	369.88	13,316.36	
	39097	Vega de Pas	13	563	576	427.55	10580.46	11008.01	8,743.56	
	39098	Villacarriedo	5	158	163	108.98	1919.08	2028.06	5,086.62	
	39099	Villaescusa	3	22	25	21.75	126.47	148.22	2,839.29	
	39100	Villafufre	5	38	43	187.98	225.28	413.26	3,003.60	
	39101	Valle de Villaverde	0	14	14	7.18	67.16	74.34	1,963.91	
	39102	Voto	5	29	34	26.89	204.4	231.29	7,697.87	
	53072	Comunidad de Campoo y Cabuérniga	0	0	0	0	0	0	6,870.03	
Total Cantabria									531,367.18	
Castellon	12001	Atzeneta del Maestrat	2	16	18	104.29	766.93	871.22	7,119.99	
	12002	Aín	0	0	0	25.79	16.62	42.41	1,229.52	
	12003	Albocàsser	1	7	8	4	117.75	121.75	8,236.17	
	12004	Alcalà de Xivert	5	27	32	64.66	97.7	162.36	16,792.19	
	12005	L'Alcora	5	36	41	56.24	31.83	88.07	9,495.45	
	12006	Alcudia de Veo	0	11	11	1.66	0.61	2.27	3,067.14	
	12007	Alfondeguilla	0	3	3	14.9	9.81	24.71	2,834.27	
	12008	Algimia de Almonacid	2	0	2	2.09	2	4.09	2,034.09	
	12009	Almazora/Almassora	5	24	29	0.32	12.43	12.75	3,302.64	
	12010	Almedíjar	1	4	5	57.22	155.51	212.73	2,090.66	
	12011	Almenara	5	6	11	0.54	1.82	2.36	2,768.64	
	12012	Altura	4	13	17	2305.3	2539.76	4845.06	12,960.30	
	12013	Arañuel	1	0	1	0	0.1	0.1	1,916.73	
	12014	Ares del Maestrat	1	6	7	3.01	11.69	14.7	11,874.91	
	12015	Argelita	3	0	3	0.11	0.01	0.12	1,547.70	
	12016	Artana	1	15	16	13.22	0.77	13.99	3,634.87	
	12017	Ayàdar	5	0	5	0.01	0.11	0.12	2,437.46	
	12018	Azuébar	6	6	12	30.17	36.58	66.75	2,341.13	
	12020	Barracas	0	1	1	2.5	12	14.5	4,215.67	
	12021	Betxí	3	12	15	32.71	3.52	36.23	2,145.14	
	12022	Bejís	3	3	6	354.01	77.37	431.38	4,235.76	
	12024	Benafer	3	6	9	2.15	2.03	4.18	1,703.68	
	12025	Benafigos	10	0	10	0.15	0.19	0.34	3,562.14	
	12026	Benasal	3	15	18	13.09	27.96	41.05	7,962.65	
	12027	Benicarló	4	11	15	5.32	45.54	50.86	4,792.03	
	12028	Benicasim/Benicàssim	10	2	12	0.97	2.7	3.67	3,636.67	
	12029	Benlloch	8	0	8	0.04	0.9	0.94	4,356.11	
	12031	Borriol	7	13	20	25	20.22	45.22	6,099.36	
	12032	Borriana/Burriana	5	1	6	0.57	1.32	1.89	4,693.00	
	12033	Cabanes	7	37	44	17.81	820.55	838.36	13,187.93	
	12034	Càlig	8	12	20	10.63	48.19	58.82	2,749.91	
	12036	Canet lo Roig	1	3	4	188.98	525.15	714.13	6,874.74	
	12037	Castell de Cabres	4	0	4	0.07	0.01	0.08	3,074.69	
	12038	Castellfort	12	0	12	0.28	0.25	0.53	6,677.42	
	12039	Castellnovo	7	9	16	142.02	155.2	297.22	1,920.94	
	12040	Castellón de la Plana/Castelló de la Plana	4	3	7	167.32	104.49	271.81	10,951.28	
	12041	Castillo de Villamalefa	2	11	13	5.57	26.16	31.73	3,775.56	
	12042	Catí	2	6	8	0.05	32.76	32.81	10,242.97	
	12043	Caudiel	2	9	11	2.7	53.31	56.01	6,239.71	
	12044	Cervera del Maestre	2	15	17	57.29	133.41	190.7	9,333.92	
	12045	Cinctorres	1	0	1	0.01	0	0.01	3,508.36	
	12046	Cirat	7	0	7	0.27	0.6	0.87	4,111.43	
	12048	Cortes de Arenoso	3	8	11	6.09	0.3	6.39	8,061.01	
	12049	Costur	0	4	4	116.37	412.56	528.93	2,194.20	
	12050	Les Coves de Vinromà	7	37	44	7.19	162.2	169.39	13,656.34	
	12051	Culla	4	28	32	259.84	188.47	448.31	11,593.68	
	12052	Chert/Xert	1	12	13	953.06	1000.55	1953.61	8,258.60	
	12053	Chilches/Xilxes	1	0	1	0	0.03	0.03	1,353.58	
	12055	Chodos/Xodos	7	0	7	0.21	0.16	0.37	4,428.56	
	12056	Chóvar	0	4	4	53.24	36.96	90.2	1,831.76	
	12057	Eslida	1	11	12	74.53	76.76	151.29	1,813.41	
	12058	Espadilla	1	0	1	0	0.02	0.02	1,196.86	
	12059	Fanzara	5	7	12	4.02	40.98	45	3,499.19	
	12060	Figueroles	0	3	3	66.07	307.08	373.15	1,209.51	
	12061	Forcall	1	0	1	0.1	0	0.1	3,922.84	
	12063	Fuente la Reina	1	0	1	2.33	0	2.33	750.14	
	12064	Fuentes de Ayódar	1	0	1	0.03	0	0.03	1,098.77	
	12065	Gaibiel	0	7	7	153.09	239.81	392.9	1,808.42	
	12067	Geldo	0	3	3	0	3.16	3.16	56.37	
	12068	Herbés	0	4	4	1.01	0.08	1.09	2,714.10	
	12069	Higueras	1	0	1	0	0.01	0.01	1,184.82	
	12070	La Jana	0	1	1	0	1	1	1,952.28	
	12071	Jérica	11	27	38	1585.84	1001.46	2587.3	7,829.46	
	12072	Lucena del Cid	6	17	23	223.34	1944.64	2167.98	13,710.41	
	12073	Ludiente	4	5	9	4.46	0.1	4.56	3,136.43	
	12074	La Llosa	3	0	3	0.01	0.6	0.61	1,004.19	
	12075	La Mata de Morella	1	0	1	0.3	0	0.3	1,516.75	
	12076	Matet	3	1	4	3.81	0	3.81	1,489.30	
	12077	Moncofa	0	2	2	0	1.28	1.28	1,440.74	
	12078	Montán	2	9	11	18.16	2.26	20.42	3,410.75	
	12079	Montanejos	8	1	9	1.62	0.5	2.12	3,781.00	
	12080	Morella	6	14	20	2.11	0.4	2.51	41,382.60	
	12081	Navajas	4	0	4	75.55	108.08	183.63	789.08	
	12082	Nules	2	4	6	2.03	1.9	3.93	5,039.26	
	12083	Olocau del Rey	0	0	0	0	0	0	4,399.93	
	12084	Onda	8	55	63	81.2	36.55	117.75	10,848.43	
	12085	Oropesa del Mar/Orpesa	0	8	8	81.02	11.56	92.58	2,673.85	
	12087	Palanques	0	0	0	0	0	0	1,432.96	
	12088	Pavías	2	0	2	0.01	0.03	0.04	1,441.63	
	12089	Peníscola/Peñíscola	6	17	23	20.65	58.14	78.79	7,909.22	
	12090	Pina de Montalgrao	2	0	2	0.25	0	0.25	3,160.93	
	12091	Portell de Morella	8	0	8	0.05	0.28	0.33	4,942.07	
	12092	Puebla de Arenoso	7	0	7	2.02	0.33	2.35	4,253.83	
	12093	La Pobla de Benifassà	2	18	20	5.36	6.39	11.75	13,612.97	
	12094	La Pobla Tornesa	1	7	8	4.51	0.28	4.79	2,583.10	
	12095	Ribesalbes	2	4	6	7.76	4.06	11.82	855.76	
	12096	Rossell	3	11	14	31.08	408.85	439.93	7,500.27	
	12097	Sacañet	2	0	2	1466.8	290.03	1756.83	3,049.73	
	12098	La Salzadella	0	7	7	0.5	5.31	5.81	4,996.76	
	12099	Sant Jordi/San Jorge	3	0	3	1	1.83	2.83	3,653.74	
	12100	Sant Mateu	1	15	16	2.32	15.74	18.06	6,468.78	
	12101	San Rafael del Río	0	0	0	0	0	0	2,117.46	
	12102	Santa Magdalena de Pulpis	0	8	8	0.03	19.32	19.35	6,656.22	
	12103	la Serratella	0	2	2	0	2	2	1,882.81	
	12104	Segorbe	4	26	30	458.4	149.14	607.54	10,611.50	
	12105	Sierra Engarcerán	7	18	25	116.49	54.97	171.46	8,204.48	
	12106	Soneja	6	7	13	34.14	109.74	143.88	2,911.61	
	12107	Sot de Ferrer	1	0	1	0	0.05	0.05	864.35	
	12108	Sueras/Suera	4	0	4	0.9	0	0.9	2,222.91	
	12109	Tales	0	3	3	1.54	0	1.54	1,453.26	
	12110	Teresa	2	4	6	789.95	360.29	1150.24	1,988.90	
	12111	Tírig	2	7	9	3.5	3.75	7.25	4,237.39	
	12112	Todolella	0	1	1	0	1	1	3,404.26	
	12113	Toga	4	0	4	0.39	0.6	0.99	1,353.01	
	12114	Torás	0	4	4	5.51	2.59	8.1	1,678.50	
	12115	El Toro	5	4	9	3.33	3.62	6.95	10,995.61	
	12116	Torralba del Pinar	2	6	8	5.05	0.21	5.26	2,120.06	
	12117	Torreblanca	2	10	12	2	385.46	387.46	2,989.50	
	12118	Torrechiva	2	0	2	0.21	0	0.21	1,185.22	
	12119	La Torre d'En Besora	2	0	2	0	0.8	0.8	1,231.87	
	12120	La Torre d'en Doménec	0	0	0	0	0	0	318.85	
	12121	Traiguera	9	0	9	0.44	2.87	3.31	5,982.68	
	12122	Useras/Les Useres	2	19	21	139.15	2058.75	2197.9	8,073.87	
	12123	Vallat	0	2	2	10	248.01	258.01	500.75	
	12124	Vall d'Alba	6	1	7	3.11	1.01	4.12	5,295.60	
	12125	Vall de Almonacid	0	11	11	163.62	297.01	460.63	2,112.78	
	12126	La Vall d'Uixó	5	18	23	56.25	124.26	180.51	6,711.77	
	12127	Vallibona	1	7	8	91.19	37.75	128.94	9,145.02	
	12128	Vilafamés	1	15	16	21.12	30.26	51.38	7,045.11	
	12129	Villafranca del Cid/Vilafranca	8	0	8	0.38	0.04	0.42	9,389.31	
	12130	Villahermosa del Río	10	23	33	4.14	1	5.14	10,892.60	
	12131	Villamalur	0	2	2	9.01	0	9.01	1,948.27	
	12132	Vilanova d'Alcolea	2	13	15	1.77	21.58	23.35	6,847.16	
	12133	Villanueva de Viver	5	0	5	0.06	0.9	0.96	594.84	
	12134	Vilar de Canes	1	0	1	0.3	0.2	0.5	1,592.20	
	12135	Vila-real	1	8	9	0.05	1.63	1.68	5,516.10	
	12136	La Vilavella	1	0	1	0	0.4	0.4	614.97	
	12137	Villores	0	0	0	0	0	0	530.82	
	12138	Vinaròs	2	7	9	2.51	0.39	2.9	9,552.74	
	12139	Vistabella del Maestrazgo	7	35	42	5.35	1.55	6.9	15,106.90	
	12140	Viver	0	20	20	4.42	8.84	13.26	4,993.62	
	12141	Zorita del Maestrazgo	3	10	13	32.3	0.55	32.85	6,887.43	
	12142	Zucaina	10	0	10	0.05	0.29	0.34	5,158.81	
	12901	Alquerías del Niño Perdido	1	0	1	0	0.12	0.12	1,261.79	
	12902	Sant Joan de Morà	4	11	15	3.83	0.76	4.59	2,917.14	
Total Castellon									663,733.33	
Ceuta	51001	Ceuta	0	6	6	28.36	26.69	55.05	1,980.75	
Total Ceuta									1,980.75	
Ciudad Real	13001	Abenójar	2	15	17	383.31	596.1	979.41	42,325.86	
	13002	Agudo	3	17	20	0.62	185.48	186.1	22,991.51	
	13003	Alamillo	0	2	2	0	9.5	9.5	6,727.55	
	13004	Albaladejo	0	4	4	32	153.5	185.5	4,890.40	
	13005	Alcázar de San Juan	6	43	49	8.25	172.54	180.79	66,625.95	
	13006	Alcoba	3	5	8	0	329.22	329.22	30,695.92	
	13007	Alcolea de Calatrava	2	14	16	0	153.28	153.28	7,075.03	
	13008	Alcubillas	0	2	2	0	1.3	1.3	4,742.26	
	13009	Aldea del Rey	1	12	13	0	28.39	28.39	15,420.95	
	13010	Alhambra	2	15	17	0	53.37	53.37	57,978.77	
	13011	Almadén	4	19	23	1.4	167.31	168.71	23,958.01	
	13012	Almadenejos	1	9	10	0	29.99	29.99	10,284.70	
	13013	Almagro	1	10	11	0	123.41	123.41	24,956.68	
	13014	Almedina	0	5	5	0.03	18.5	18.53	5,585.74	
	13015	Almodàvar del Campo	8	77	85	118.25	1153.54	1271.79	120,779.53	
	13016	Almuradiel	2	10	12	3	2.95	5.95	6,611.32	
	13017	Anchuras	2	13	15	398.2	477.41	875.61	23,101.23	
	13018	Arenas de San Juan	1	17	18	0	60.36	60.36	6,304.52	
	13019	Argamasilla de Alba	4	11	15	0.54	26.19	26.73	39,690.71	
	13020	Argamasilla de Calatrava	9	21	30	186.7	2403.1	2589.8	16,583.78	
	13021	Arroba de los Montes	3	13	16	0	9.71	9.71	6,167.54	
	13022	Ballesteros de Calatrava	1	0	1	0	0.03	0.03	5,779.66	
	13023	Bolaños de Calatrava	0	3	3	0	42	42	8,782.36	
	13024	Brazatortas	3	24	27	4.03	88.73	92.76	27,168.82	
	13025	Cabezarados	1	4	5	0	8.85	8.85	8,031.88	
	13026	Cabezarrubias del Puerto	0	8	8	0	58.56	58.56	10,053.52	
	13027	Calzada de Calatrava	5	46	51	50.18	2358.98	2409.16	41,065.19	
	13028	Campo de Criptana	5	19	24	0	90.26	90.26	30,217.49	
	13029	Cañada de Calatrava	2	0	2	0	0.09	0.09	2,988.01	
	13030	Caracuel de Calatrava	0	3	3	0	1.54	1.54	991.67	
	13031	Carriàn de Calatrava	1	13	14	0	161.5	161.5	9,570.83	
	13032	Carrizosa	0	5	5	0	2.94	2.94	2,602.31	
	13033	Castellar de Santiago	1	5	6	0	6.26	6.26	9,542.75	
	13034	Ciudad Real	3	29	32	2.3	286.83	289.13	28,480.33	
	13035	Corral de Calatrava	1	11	12	1.5	267.03	268.53	14,868.53	
	13036	Los Cortijos	0	8	8	0	6.89	6.89	9,482.81	
	13037	Cózar	1	0	1	0	0.2	0.2	6,494.14	
	13038	Chillón	1	16	17	0	66.98	66.98	20,774.80	
	13039	Daimiel	1	14	15	0	372.21	372.21	43,797.78	
	13040	Fernán Caballero	2	14	16	0	51.78	51.78	10,389.55	
	13041	Fontanarejo	4	12	16	0.5	194.08	194.58	7,691.75	
	13042	Fuencaliente	8	37	45	6.53	17.75	24.28	26,971.89	
	13043	Fuenllana	3	5	8	0	4.13	4.13	5,991.16	
	13044	Fuente el Fresno	2	15	17	0.06	185.91	185.97	11,938.11	
	13045	Granátula de Calatrava	2	12	14	0	115.79	115.79	15,254.37	
	13046	Guadalmez	0	3	3	0	3.2	3.2	7,198.56	
	13047	Herencia	3	32	35	0	148.38	148.38	22,657.06	
	13048	Hinojosas de Calatrava	2	10	12	0.4	586.17	586.57	10,246.20	
	13049	Horcajo de los Montes	3	21	24	0.09	32.19	32.28	20,836.94	
	13050	Las Labores	1	5	6	0	17.95	17.95	3,411.36	
	13051	Luciana	1	8	9	0.15	10.38	10.53	11,378.30	
	13052	Malagón	4	48	52	0.05	242.12	242.17	36,456.40	
	13053	Manzanares	3	3	6	0	3.33	3.33	47,385.33	
	13054	Membrilla	1	6	7	0.05	9.13	9.18	14,382.91	
	13055	Mestanza	2	15	17	6	297.53	303.53	36,976.95	
	13056	Miguelturra	0	10	10	0	57.53	57.53	11,828.77	
