Provincia	Código INE	Nombre del Municipio	Nº de conatos	Nº de incendios	Total conatos + incendios	Superficie arbolada (ha)	Superficie desarbola (ha)	Superficie forestal total (ha)	Superficie total del Municipio 	
	15090	Vilasantar	26	150	176	73.36	280.65	354.01	5,937.22	
	15091	Vilarmaior	7	46	53	43.3	18.37	61.67	3,032.26	
	15092	Vimianzo	13	309	322	1498.12	1208.86	2706.98	18,821.48	
	15093	Zas	39	369	408	259.33	477	736.33	13,404.19	
	15901	Cariño	2	10	12	3.99	4.09	8.08	4,719.20	
	15902	Oza-Cesuras	22	101	123	53.92	84.62	138.54	15,216.60	
Total A Coruña									798,621.91	
Albacete	02001	Abengibre	3	3	6	3.5	1.92	5.42	3,075.66	
	02002	Alatoz	2	0	2	0.01	0.2	0.21	6,383.35	
	02003	Albacete	5	36	41	5.37	49.6	54.97	112,526.11	
	02004	Albatana	0	1	1	0	4.5	4.5	3,051.05	
	02005	Alborea	16	0	16	0.35	2.38	2.73	7,202.85	
	02006	Alcadozo	3	0	3	1.21	0.16	1.37	9,951.90	
	02007	Alcalá del Júcar	2	20	22	6.72	4.12	10.84	14,677.58	
	02008	Alcaraz	9	27	36	13.16	26.5	39.66	37,025.24	
	02009	Almansa	15	28	43	274.54	5.48	280.02	53,182.70	
	02010	Alpera	2	13	15	3.55	4.43	7.98	17,842.87	
	02011	Ayna	10	30	40	56.6	1.86	58.46	14,671.17	
	02012	Balazote	2	23	25	3.93	8.87	12.8	6,510.91	
	02013	Balsa de Ves	1	9	10	14.18	0.09	14.27	7,633.24	
	02014	El Ballestero	1	0	1	0.02	0	0.02	13,858.85	
	02015	Barrax	0	2	2	1.02	2	3.02	18,972.98	
	02016	Bienservida	1	15	16	1.13	11.91	13.04	9,066.60	
	02017	Bogarra	14	33	47	5.2	10.52	15.72	16,589.87	
	02018	Bonete	2	1	3	4.18	0.01	4.19	12,501.98	
	02019	El Bonillo	10	8	18	1.21	46.95	48.16	50,227.35	
	02020	Carcelén	2	6	8	1.12	0.7	1.82	7,534.40	
	02021	Casas de Juan Núñez	0	1	1	21.4	4.87	26.27	8,894.55	
	02022	Casas de Lázaro	4	12	16	2.7	2.25	4.95	11,223.93	
	02023	Casas de Ves	1	10	11	14.91	10.96	25.87	12,506.16	
	02024	Casas-Ibáñez	0	6	6	1.94	1.1	3.04	10,318.11	
	02025	Caudete	7	0	7	0.11	0.63	0.74	14,159.37	
