país Name	país Code	serie Name	serie Code	1960 [YR1960]	1961 [YR1961]	1962 [YR1962]	1963 [YR1963]	1964 [YR1964]	1965 [YR1965]	1966 [YR1966]	1967 [YR1967]	1968 [YR1968]	1969 [YR1969]	1970 [YR1970]	1971 [YR1971]	1972 [YR1972]	1973 [YR1973]	1974 [YR1974]	1975 [YR1975]	1976 [YR1976]	1977 [YR1977]	1978 [YR1978]	1979 [YR1979]	1980 [YR1980]	1981 [YR1981]	1982 [YR1982]	1983 [YR1983]	1984 [YR1984]	1985 [YR1985]	1986 [YR1986]	1987 [YR1987]	1988 [YR1988]	1989 [YR1989]	1990 [YR1990]	1991 [YR1991]	1992 [YR1992]	1993 [YR1993]	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]	2019 [YR2019]
Albania	ALB	Producción de electricidad a partir de fuentes hidroeléctricas (% del total)	EG.ELC.HYRO.ZS	..	..	..	..	..	..	..	..	..	..	..	57.1428571428571	62.0689655172414	66.2162162162162	68.4210526315789	71.9101123595506	74.5098039215686	76.5217391304348	77.4193548387097	78.8321167883212	79.4078061911171	81.3333333333333	83.0013280212483	84.6560846560847	73.6884584342211	67.6835081029552	79.5338817077947	76.2229806598407	73.7700803212851	74.6543778801843	86.4077669902913	92.1424829753798	95.0500883912787	93.9076225559649	95.686374016747	93.9861390565616	95.7204948177867	96.1744452945677	96.3202192209826	97.3291582243507	96.1490163248221	95.3083109919571	93.9539860888176	97.8565705128205	97.5026757046022	98.713944515892	98.3164373642288	97.4825174825175	100	99.9807766243752	99.9867864693446	98.5922214268671	100	100	100	100	..	..	..	..
Albania	ALB	Producción de electricidad a partir de fuentes nucleares (% del total)	EG.ELC.NUCL.ZS	..	..	..	..	..	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..	..
Albania	ALB	Producción de electricidad a partir de fuentes renovables, excluida la hidroeléctrica (% del total)	EG.ELC.RNWX.ZS	..	..	..	..	..	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..
Albania	ALB	Producción de electricidad a partir de fuentes renovables, excluida la hidroeléctrica (kilovatio-hora)	EG.ELC.RNWX.KH	..	..	..	..	..	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..
Albania	ALB	Producción de electricidad a partir del petróleo (% del total)	EG.ELC.PETR.ZS	..	..	..	..	..	..	..	..	..	..	..	42.8571428571429	37.9310344827586	33.7837837837838	31.5789473684211	28.0898876404494	25.4901960784314	23.4782608695652	22.5806451612903	21.1678832116788	20.5921938088829	18.6666666666667	16.9986719787517	15.3439153439153	26.3115415657789	32.3164918970448	20.4661182922052	23.7770193401593	26.2299196787149	25.3456221198157	13.5922330097087	7.85751702462022	4.94991160872127	6.09237744403514	4.31362598325298	6.01386094343841	4.27950518221331	3.82555470543229	3.67978077901742	2.67084177564929	3.8509836751779	4.6916890080429	6.04601391118245	2.14342948717949	2.49732429539779	1.28605548410803	1.68356263577118	2.51748251748252	0	0.0192233756247597	0.0132135306553911	1.4077785731329	0	0	0	0	..	..	..	..
Albania	ALB	Producción de energía eléctrica renovable (% de la producción total de electricidad)	EG.ELC.RNEW.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	86.4077669902913	92.1424829753798	95.0500883912787	93.9076225559649	95.686374016747	93.9861390565616	95.7204948177867	96.1744452945677	96.3202192209826	97.3291582243507	96.1490163248221	95.3083109919571	93.9539860888176	97.8565705128205	97.5026757046022	98.713944515892	98.3164373642288	97.4825174825175	100	99.9807766243752	99.9867864693446	98.5922214268671	100	100	100	100	..	..	..	..
Alemania	DEU	Producción de electricidad a partir de carbón  (% del total)	EG.ELC.COAL.ZS	87.0287713116906	86.72576878933	86.9091068033306	85.7424256636338	84.4487514979579	80.1825658374406	76.8511967761471	77.0899655488204	76.2457888305688	74.7271488558286	74.463599236975	74.9893811745796	72.3798069278162	69.0035047228277	67.2083633114248	63.2746176095057	66.0827719417308	63.6533482923486	62.6458231950961	61.9428410109224	62.9399150834155	65.1160801903634	66.2068022618664	67.6625909691491	65.3232200590979	61.9375288151222	62.2619597441995	59.8791253744342	58.6267087545626	58.0613099819339	58.7311238929974	59.1460660736881	57.1244134974291	57.378461090898	56.5280223912567	55.6226000067566	54.9605858821009	53.358600466049	54.1199366372482	52.1544851550552	53.1460931343513	51.8395355791341	52.6833735999753	52.0842341737864	50.429631569043	48.3458915232218	47.1638861318852	48.6523593771453	44.9947980705571	44.1135590864558	43.642422472362	44.8562977991792	46.0164689811742	47.241229490714	45.8101932990105	44.2628091617821	..	..	..	..
Alemania	DEU	Producción de electricidad a partir de fuentes de gas natural (% del total)	EG.ELC.NGAS.ZS	0.0702978766653398	0.120315035421696	0.136226879675969	0.436169214895413	0.969698451906381	1.45352737029368	1.73531126367562	2.05998430072827	3.20766197851994	4.26052998356882	4.72453695457151	6.49352633621493	8.02530350033682	10.9394366799162	15.5388503263238	16.9327982906428	14.2450696805822	14.5096971503545	15.237491461558	15.8567753056742	14.1506197195179	11.088496313099	8.82935384707408	8.46920156875904	7.54998181756761	5.37594129399109	5.71296613921079	6.21263905200512	6.05747666369956	6.92056110815092	7.3879302474208	6.73856811726195	6.1627741384221	6.61719813124537	7.66386458620919	8.10414140769574	8.71959047814473	9.07427040698088	9.74519121973297	9.96534218932395	9.17242837398417	10.0414857893127	9.36689154125584	10.5824523734972	10.4888685250489	12.0227346541085	12.1318346472124	12.5607775741995	14.2316907847032	13.919107202788	14.4197975367988	14.3651149156495	12.4418407036513	10.859869340938	10.0122520251215	9.83155139032119	..	..	..	..
Alemania	DEU	Producción de electricidad a partir de fuentes de petróleo, gas y carbón (% del total)	EG.ELC.FOSL.ZS	89.8076548458952	90.5441880713975	91.6180402269962	92.4625135674756	93.1644207488567	91.6124704715798	90.9040484936298	90.986001482709	91.3990729243449	91.9620791457566	91.3965365918431	93.143141766667	92.6165357449527	91.9191028764372	91.0193745951357	88.4563670948745	88.8677172342278	85.3832739119311	85.2951287351498	84.0812022935456	82.8247630484196	80.6671270393405	78.8218128683704	78.8123151779535	74.6968104237997	69.1566774243123	70.5894640417161	68.6953194072393	66.8398801701306	66.8543246554969	68.0175294439879	68.6355272047269	65.7638024854217	65.9269991406485	65.8624727487362	65.4126956123525	65.1267226085046	63.6857654317158	65.0194161575017	63.1776597381209	63.1546024640363	62.6987073069295	62.7929355241136	64.3785733337972	62.6816995442682	62.3168236440403	61.0271015216553	62.7923675518375	60.7520728900659	59.7388663075499	59.4572466855947	60.400870842583	59.6811379501634	59.2383224450782	56.7323430952925	55.0630531681038	..	..	..	..
Alemania	DEU	Producción de electricidad a partir de fuentes hidroeléctricas (% del total)	EG.ELC.HYRO.ZS	10.1923451541048	9.43681481774647	8.30911117424656	7.4999665000603	6.77199246741177	8.31928606841844	8.94596537301268	8.34623435523963	7.72727947323898	5.83952656819831	5.67637504817486	4.11154808723632	3.81605234170134	4.06916485019447	4.51655686790607	4.44354691612164	3.28600954385499	4.12460421590741	4.0980056878301	3.93029537633696	4.08907663936184	4.25559662801959	4.21632568482982	3.92252679264277	3.67106290724177	3.33698324880898	3.55797958272408	3.83360322131254	3.66745931797868	3.26858594502662	3.1819592805624	2.77907380380945	3.25986748414757	3.42171192776088	3.79470873278053	4.08773042750378	3.98717247966646	3.16727218979181	3.11672324055216	3.55572849270195	3.79722284833649	3.90677899107385	3.97350993377483	2.9358701000492	3.28846924832885	3.18902240987334	3.16216028271053	3.34073474386227	3.22251647277657	3.22577911269463	3.34401029073562	2.91010954699059	3.48795449225451	3.63349106162463	3.14934929205162	2.9606828432665	..	..	..	..
